,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
59,DAR-DIA-842b4336-8,O=C(Nc1cccnc1)Nc1nc(Cl)co1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
60,DAR-DIA-842b4336-9,N#Cc1ccc(NC(=O)Nc2cccnc2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
61,DAR-DIA-842b4336-10,O=C(Cc1ccsc1)Nc1cccnc1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
62,DAR-DIA-842b4336-11,Cn1cc(CC(=O)Nc2cccnc2)cn1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
63,DAR-DIA-842b4336-12,Cc1ccc(CC(=O)Nc2cccnc2)s1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
64,DAR-DIA-842b4336-13,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,,x2643,5RH1,False,Core,False,False,True,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
65,DAR-DIA-842b4336-14,N#Cc1ccc(CC(=O)Nc2cccnc2)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
66,DAR-DIA-842b4336-15,N#Cc1cnc(CC(=O)Nc2cccnc2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
67,DAR-DIA-842b4336-16,Cc1cnc(CC(=O)Nc2cccnc2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
68,DAR-DIA-842b4336-17,O=C(Cc1cc2cccnc2[nH]1)Nc1ccc(Cl)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
69,DAR-DIA-842b4336-18,Cc1ccc(NC(=O)Cc2cc3cccnc3[nH]2)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
70,DAR-DIA-842b4336-19,N#Cc1ccc(NC(=O)Cc2cc3cccnc3[nH]2)s1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
71,DAR-DIA-842b4336-20,N#Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
72,DAR-DIA-842b4336-21,Cc1cnc(NC(=O)Cc2cc3cccnc3[nH]2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
73,DAR-DIA-842b4336-22,O=C(Cc1cc2cccnc2[nH]1)Nc1ncc(Cl)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
74,DAR-DIA-842b4336-23,Cn1cc(NC(=O)Cc2cc3cccnc3[nH]2)cn1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
75,DAR-DIA-842b4336-24,O=C(Cc1cc2cccnc2[nH]1)Nc1ccsc1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,AAR-POS-d2a4d1df-20"
76,DAR-DIA-fc970077-1,O=C1N(c2ccccc2)CCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
77,DAR-DIA-fc970077-2,O=C1NC(c2cccnc2)CCN1c1ccccc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
78,DAR-DIA-fc970077-3,O=c1n(-c2ccccc2)ccn1-c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
79,DAR-DIA-fc970077-4,O=C1CC(c2cccnc2)CCN1c1ccccc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
80,DAR-DIA-fc970077-5,O=C1CN(c2cccnc2)CCN1c1ccccc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
81,DAR-DIA-fc970077-6,O=C1N(c2ccccc2)CCCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
82,DAR-DIA-fc970077-7,O=C1C(c2ccccc2)CCCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
83,DAR-DIA-fc970077-8,O=C1C(c2ccccc2)OCCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
84,DAR-DIA-fc970077-9,CC(=O)N(C(=O)Nc1ccccc1)c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
85,DAR-DIA-fc970077-10,O=C1N(c2ccccc2)CCCCN1c1cccnc1,,,,False,Core,False,False,False,AAR-POS-d2a4d1df-11
