,Id,Ordered,Made,Assayed,Maker,order_date,shipment_date
280,ELE-IMP-dfb36048-6,False,False,False,,,
281,AGN-NEW-c7b24fe3-1,False,False,False,,,
282,AGN-NEW-c7b24fe3-2,False,False,False,,,
283,AGN-NEW-c7b24fe3-3,False,False,False,enamine,2020-03-31,2020-05-20
284,AGN-NEW-c7b24fe3-4,False,False,False,enamine,2020-03-31,2020-05-13
285,AGN-NEW-c7b24fe3-5,False,False,False,wuxi,2020-06-10,2020-07-21
286,AGN-NEW-c7b24fe3-6,False,False,False,,,
287,DUN-NEW-d8381160-1,False,False,False,enamine,2020-03-31,2020-04-27
288,MIH-UNI-6b9ca91a-1,False,False,False,,,
289,MIH-UNI-6b9ca91a-2,False,False,False,,,
290,MIH-UNI-6b9ca91a-3,False,False,False,,,
291,MIH-UNI-6b9ca91a-4,False,False,False,,,
292,MIH-UNI-6b9ca91a-5,False,False,False,enamine,2020-03-31,2020-05-13
293,MIH-UNI-6b9ca91a-6,False,False,False,enamine,2020-03-31,2020-04-27
294,MIH-UNI-6b9ca91a-7,False,False,False,,,
295,MIH-UNI-6b9ca91a-8,False,False,False,,,
296,MIH-UNI-6b9ca91a-9,False,False,False,,,
297,AGN-NEW-891393a6-1,False,False,False,enamine,2020-03-31,2020-06-16
298,AGN-NEW-891393a6-2,False,False,False,enamine,2020-03-31,
299,AGN-NEW-891393a6-3,False,False,False,,,
300,AGN-NEW-891393a6-4,False,False,False,,,
301,AGN-NEW-891393a6-5,False,False,False,,,
302,AGN-NEW-891393a6-6,False,False,False,,,
303,AGN-NEW-891393a6-7,False,False,False,,,
304,AGN-NEW-891393a6-8,False,False,False,,,
305,AGN-NEW-891393a6-9,False,False,False,,,
306,AGN-NEW-891393a6-10,False,False,False,,,
307,AGN-NEW-891393a6-11,False,False,False,,,
308,HAR-NEW-972ef1cc-1,False,False,False,,,
309,HAR-NEW-972ef1cc-2,False,False,False,enamine,2020-04-17,
310,DUN-NEW-f8ce3686-1,False,False,False,enamine,2020-03-31,2020-05-13
311,DUN-NEW-f8ce3686-2,False,False,False,,,
312,DUN-NEW-f8ce3686-3,False,False,False,,,
313,DUN-NEW-f8ce3686-4,False,False,False,,,
314,DUN-NEW-f8ce3686-5,False,False,False,,,
315,DUN-NEW-f8ce3686-6,False,False,False,,,
316,DUN-NEW-f8ce3686-7,False,False,False,,,
317,DUN-NEW-f8ce3686-8,False,False,False,,,
318,DUN-NEW-f8ce3686-9,False,False,False,,,
319,DUN-NEW-f8ce3686-11,False,False,False,,,
320,DUN-NEW-f8ce3686-12,False,False,False,,,
321,DUN-NEW-f8ce3686-13,False,False,False,,,2020-05-07
322,DUN-NEW-f8ce3686-14,False,False,False,enamine,2020-03-31,2020-05-20
323,DUN-NEW-f8ce3686-15,False,False,False,,,
324,DUN-NEW-f8ce3686-16,False,False,False,,,
325,DUN-NEW-f8ce3686-17,False,False,False,,,
326,DUN-NEW-f8ce3686-18,False,False,False,,,
327,DUN-NEW-f8ce3686-19,False,False,False,,,
328,DUN-NEW-f8ce3686-20,False,False,False,,,
329,DUN-NEW-f8ce3686-21,False,False,False,enamine,2020-04-17,
330,DUN-NEW-f8ce3686-22,False,False,False,enamine,2020-04-17,2020-05-13
331,DUN-NEW-f8ce3686-23,False,False,False,enamine,2020-04-17,2020-06-30
332,DUN-NEW-f8ce3686-24,False,False,False,enamine,2020-04-17,2020-06-16
333,DUN-NEW-f8ce3686-25,False,False,False,enamine,2020-04-17,2020-06-24
334,SAL-INS-1ea6d4ee-1,False,False,False,,,
335,SAL-INS-1ea6d4ee-2,False,False,False,,,
336,SAL-INS-1ea6d4ee-3,False,False,False,,,
337,SAL-INS-1ea6d4ee-4,False,False,False,,,
338,HAN-NEW-5f56c3bc-1,False,False,False,enamine,2020-03-31,2020-04-17
339,HAN-NEW-5f56c3bc-2,False,False,False,,,
340,HAN-NEW-5f56c3bc-4,False,False,False,,,
